Area Type,Area,Area Name,Standard Occupational Code,Occupational Title,Employment,Mean Wage,Median Wage,Entry Wage,Experienced Wage
10,4,Hudson Valley Region, 47-2121, Glaziers,610,57090,50020,40350,65470
10,9,Southern Tier Region, 51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1470,42090,41700,27070,49600
10,7,New York City Region, 19-1022, Microbiologists,n/a,78450,74380,51420,91960
10,7,New York City Region, 29-2031, Cardiovascular Technologists and Technicians,1220,61310,58800,41110,71410
10,7,New York City Region, 25-9011,Audio-Visual and Multimedia Collections Specialists,n/a,63200,59430,44770,72420
10,9,Southern Tier Region, 35-3011, Bartenders,1670,23810,21632,21632,25310
10,4,Hudson Valley Region, 13-2053, Insurance Underwriters,510,96660,83140,54190,117890
10,9,Southern Tier Region, 41-3011, Advertising Sales Agents,250,45880,39380,27250,55190
10,1,Capital Region, 33-0000,Protective Service Occupations,12710,55860,52580,28270,69660
10,2,Central New York Region, 11-9021, Construction Managers,370,113530,94960,68100,136250
1,36,New York State, 39-3031," Ushers, Lobby Attendants, and Ticket Takers",11910,26130,23990,21632,28510
10,3,Finger Lakes Region, 39-3012, Gaming and Sports Book Writers and Runners,n/a,28740,28490,23000,31610
10,4,Hudson Valley Region, 51-6011, Laundry and Dry-Cleaning Workers,1670,25450,22610,21632,27810
10,6,Mohawk Valley Region, 35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",400,27180,24140,22360,29580
10,10,Western New York Region, 11-0000,Management Occupations,26220,117210,100250,58990,146320
10,5,Long Island Region, 47-2111, Electricians,6360,68120,60330,39400,82470
10,4,Hudson Valley Region, 53-7032,Excavating and Loading Machine and Dragline Operators,280,77010,66790,40800,95120
10,4,Hudson Valley Region, 51-9011, Chemical Equipment Operators and Tenders,350,36240,36270,25660,41530
10,10,Western New York Region, 27-3041, Editors,310,64500,64450,34340,79570
10,4,Hudson Valley Region, 47-2171, Reinforcing Iron and Rebar Workers,n/a,99250,105550,76370,110690
10,5,Long Island Region, 19-1099," Life Scientists, All Other",n/a,103650,100920,85040,112950
1,36,New York State, 53-7072," Pump Operators, Except Wellhead Pumpers",n/a,42960,42180,28140,50360
10,5,Long Island Region, 49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",n/a,43260,42780,31640,49070
10,6,Mohawk Valley Region, 19-4093, Forest and Conservation Technicians,n/a,34010,29940,28680,36670
10,7,New York City Region, 33-3051, Police and Sheriff's Patrol Officers,26310,70390,73930,46160,82510
10,9,Southern Tier Region, 35-1011, Chefs and Head Cooks,240,42460,41190,24270,51550
10,6,Mohawk Valley Region, 51-8031,Water and Wastewater Treatment Plant and System Operators,300,44110,41420,31390,50470
10,7,New York City Region, 27-1025, Interior Designers,2760,72090,66680,47890,84190
10,10,Western New York Region, 49-9051, Electrical Power-Line Installers and Repairers,300,82940,86480,65960,91420
10,5,Long Island Region, 47-5021," Earth Drillers, Except Oil and Gas",170,75340,63020,51370,87330
10,2,Central New York Region, 17-3031, Surveying and Mapping Technicians,100,45000,43010,29650,52670
10,4,Hudson Valley Region, 53-5011, Sailors and Marine Oilers,n/a,68530,85460,25400,90100
10,2,Central New York Region, 25-0000,"Education, Training, and Library Occupations",30660,62310,55800,27600,79670
10,5,Long Island Region, 19-4091,"Environmental Science and Protection Technicians, Including Health",300,53670,53410,35990,62510
10,7,New York City Region, 19-1013, Soil and Plant Scientists,n/a,64300,55090,36410,78250
10,10,Western New York Region, 11-3051, Industrial Production Managers,650,127330,120100,82400,149790
10,2,Central New York Region, 27-3022, Reporters and Correspondents,60,49440,42670,27090,60610
10,10,Western New York Region, 41-2021, Counter and Rental Clerks,1620,29270,25030,21632,33240
10,7,New York City Region, 35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",8890,30170,28920,24960,33790
10,10,Western New York Region, 23-2093," Title Examiners, Abstractors, and Searchers",n/a,54290,45400,35320,63780
10,2,Central New York Region, 43-4051, Customer Service Representatives,7410,39890,35540,25080,47300
10,9,Southern Tier Region, 53-7061, Cleaners of Vehicles and Equipment,460,30720,25590,22440,34850
10,10,Western New York Region, 27-3012, Public Address System and Other Announcers,100,108230,108250,26470,149110
10,3,Finger Lakes Region, 51-6011, Laundry and Dry-Cleaning Workers,750,25730,23920,21632,27900
10,4,Hudson Valley Region, 00-0000,"Total, All Occupations",947050,58300,43220,24580,75160
10,4,Hudson Valley Region, 43-9021, Data Entry Keyers,1290,40100,39190,27170,46560
10,3,Finger Lakes Region, 25-2052,"Special Education Teachers, Kindergarten and Elementary School",1240,63860,61320,47520,72030
10,2,Central New York Region, 37-0000,Building and Grounds Cleaning and Maintenance Occupations,12430,31490,27680,22130,36170
10,10,Western New York Region, 49-9052, Telecommunications Line Installers and Repairers,270,63430,66910,32340,78980
10,9,Southern Tier Region, 25-9041, Teacher Assistants,4780,26210,23150,21632,29010
1,36,New York State, 25-2051," Special Education Teachers, Preschool",5230,75040,63260,42820,91150
10,2,Central New York Region, 43-9031, Desktop Publishers,n/a,40070,37260,26490,46870
10,8,North Country Region, 51-4041, Machinists,190,48710,48310,38240,53940
10,8,North Country Region, 21-1029,"Social Workers, All Other",200,59510,57810,46540,65990
10,3,Finger Lakes Region, 13-1075, Labor Relations Specialists,310,60320,56000,35340,72810
1,36,New York State, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",3360,88130,71920,48030,108180
10,3,Finger Lakes Region, 17-3011, Architectural and Civil Drafters,320,51120,48650,37840,57770
10,6,Mohawk Valley Region, 43-3021, Billing and Posting Clerks,580,36550,35520,27980,40840
1,36,New York State, 29-2052, Pharmacy Technicians,18260,34020,31700,24030,39010
10,3,Finger Lakes Region, 17-2131, Materials Engineers,70,86570,88470,62050,98840
10,1,Capital Region, 25-1061,"Anthropology and Archeology Teachers, Postsecondary",100,67260,53850,44310,78730
10,2,Central New York Region, 29-1181, Audiologists,n/a,93470,95610,89720,95350
1,36,New York State, 37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",5280,57120,51690,38700,66330
10,8,North Country Region, 21-1021," Child, Family, and School Social Workers",350,48310,45740,34380,55280
10,5,Long Island Region, 25-1199,"Postsecondary Teachers, All Other",310,69890,60320,45170,82250
10,4,Hudson Valley Region, 39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",180,30380,28270,23190,33980
10,10,Western New York Region, 53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",70,23520,21632,21632,24700
10,10,Western New York Region, 37-2021, Pest Control Workers,130,39070,37180,27110,45050
10,9,Southern Tier Region, 15-2011, Actuaries,n/a,174830,169480,117710,203400
10,7,New York City Region, 39-6011, Baggage Porters and Bellhops,3170,32820,30020,24960,37730
10,4,Hudson Valley Region, 47-3012,Helpers--Carpenters,170,36450,36990,25440,41950
10,2,Central New York Region, 21-2099," Religious Workers, All Other",n/a,24440,21632,21632,26420
10,1,Capital Region, 51-9011, Chemical Equipment Operators and Tenders,90,58530,58340,47840,63870
10,6,Mohawk Valley Region, 27-2041, Music Directors and Composers,90,51780,52020,26840,64250
10,1,Capital Region, 47-2171, Reinforcing Iron and Rebar Workers,n/a,52240,38300,31830,62450
10,9,Southern Tier Region, 43-5031," Police, Fire, and Ambulance Dispatchers",210,44540,45020,34160,49730
10,2,Central New York Region, 29-0000,Healthcare Practitioners and Technical Occupations,22010,76300,61290,38150,95370
10,9,Southern Tier Region, 21-1015, Rehabilitation Counselors,140,38000,32530,24920,44540
10,7,New York City Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",13080,78140,78020,53000,90710
1,36,New York State, 37-2021, Pest Control Workers,2990,38880,37930,28900,43870
10,6,Mohawk Valley Region, 51-9122," Painters, Transportation Equipment",80,41020,40680,26250,48400
10,2,Central New York Region, 29-1063," Internists, General",50,227040,210090,152470,264330
10,9,Southern Tier Region, 35-3041," Food Servers, Nonrestaurant",300,23490,21632,21632,24820
10,8,North Country Region, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",n/a,59230,53190,40860,68410
10,9,Southern Tier Region, 11-9021, Construction Managers,200,101570,93980,59720,122490
10,1,Capital Region, 29-2031, Cardiovascular Technologists and Technicians,270,52220,54080,30530,63070
10,3,Finger Lakes Region, 41-1012,First-Line Supervisors of Non-Retail Sales Workers,1100,82360,72450,51050,98020
10,4,Hudson Valley Region, 51-7021, Furniture Finishers,n/a,40300,31400,29080,45910
1,36,New York State, 29-1065," Pediatricians, General",1850,168220,159320,86030,209310
10,1,Capital Region, 51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",70,39510,39390,31580,43480
10,10,Western New York Region, 27-4011, Audio and Video Equipment Technicians,460,48240,48450,27540,58580
10,6,Mohawk Valley Region, 49-9098,"Helpers--Installation, Maintenance, and Repair Workers",150,30830,29990,22070,35200
10,2,Central New York Region, 27-3091, Interpreters and Translators,n/a,42130,31080,22810,51790
1,36,New York State, 41-9022, Real Estate Sales Agents,4960,105700,92060,48690,134200
1,36,New York State, 19-4021, Biological Technicians,2990,47630,44920,33170,54870
10,1,Capital Region, 29-2091, Orthotists and Prosthetists,n/a,54700,49050,45140,59470
10,1,Capital Region, 41-3099," Sales Representatives, Services, All Other",2900,63860,57190,35820,77880
10,5,Long Island Region, 11-2011, Advertising and Promotions Managers,150,109760,67090,56730,136280
10,10,Western New York Region, 37-2012, Maids and Housekeeping Cleaners,3880,25080,23360,21632,26980
10,3,Finger Lakes Region, 43-3071, Tellers,1270,30130,29680,24570,32910
1,36,New York State, 53-3099," Motor Vehicle Operators, All Other",3400,35230,30800,22820,41440
10,6,Mohawk Valley Region, 29-2057, Ophthalmic Medical Technicians,n/a,37520,36570,35000,38780
10,1,Capital Region, 11-3051, Industrial Production Managers,460,149490,130030,84490,182000
10,10,Western New York Region, 35-3031, Waiters and Waitresses,13430,28780,24350,21632,32680
1,36,New York State, 43-4081," Hotel, Motel, and Resort Desk Clerks",10520,33480,26750,22700,38860
10,7,New York City Region, 25-2032,"Career/Technical Education Teachers, Secondary School",720,85130,87190,58030,98680
10,2,Central New York Region, 27-1011, Art Directors,n/a,70630,66400,42160,84870
10,2,Central New York Region, 51-6093, Upholsterers,n/a,35710,37220,27160,39990
10,8,North Country Region, 31-2022, Physical Therapist Aides,20,32810,32000,29080,34680
10,4,Hudson Valley Region, 13-2071, Credit Counselors,180,56510,51160,37040,66240
10,3,Finger Lakes Region, 29-9091, Athletic Trainers,130,48520,46740,37530,54010
10,7,New York City Region, 39-7010,Tour and Travel Guides,1940,38390,31160,24960,46250
10,8,North Country Region, 51-7011, Cabinetmakers and Bench Carpenters,n/a,37640,37510,30000,41460
10,7,New York City Region, 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",950,42470,32970,25240,51080
10,9,Southern Tier Region, 25-1112," Law Teachers, Postsecondary",n/a,233500,,117640,291430
10,3,Finger Lakes Region, 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",140,60070,58730,41280,69460
10,7,New York City Region, 35-3011, Bartenders,18610,37230,33230,24960,44850
10,9,Southern Tier Region, 11-3021, Computer and Information Systems Managers,460,141280,125940,83230,170300
10,1,Capital Region, 43-4199," Information and Record Clerks, All Other",380,43650,43430,34940,48000
1,36,New York State, 13-1081, Logisticians,3190,78670,73760,52430,91800
10,3,Finger Lakes Region, 29-1127, Speech-Language Pathologists,840,69210,66390,46330,80650
10,5,Long Island Region, 11-3021, Computer and Information Systems Managers,2500,170350,157510,116030,197510
10,1,Capital Region, 13-2031, Budget Analysts,540,69200,68940,50540,78530
10,5,Long Island Region, 51-6099,"Textile, Apparel, and Furnishings Workers, All Other",n/a,43310,44780,28330,50790
10,7,New York City Region, 15-1122, Information Security Analysts,3640,135270,127160,78360,163720
10,5,Long Island Region, 29-1069," Physicians and Surgeons, All Other",8060,197730,193660,75040,259080
10,6,Mohawk Valley Region, 19-4099,"Life, Physical, and Social Science Technicians, All Other",80,43740,42400,29300,50960
10,3,Finger Lakes Region, 43-9031, Desktop Publishers,n/a,30490,29230,28080,31700
10,10,Western New York Region, 25-1123,"English Language and Literature Teachers, Postsecondary",600,69070,61220,38950,84130
10,10,Western New York Region, 43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",550,36310,34470,26100,41420
10,3,Finger Lakes Region, 41-9099," Sales and Related Workers, All Other",130,37610,27230,22050,45390
1,36,New York State, 15-2090,Miscellaneous Mathematical Science Occupations,n/a,146250,166220,47240,195750
10,2,Central New York Region, 47-2131," Insulation Workers, Floor, Ceiling, and Wall",200,36160,36310,27380,40550
10,1,Capital Region, 51-5111, Prepress Technician and Workers,190,41330,39250,27390,48300
10,9,Southern Tier Region, 51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",140,47670,47030,36810,53100
1,36,New York State, 39-7010,Tour and Travel Guides,3070,35920,28510,22440,42660
10,9,Southern Tier Region, 49-9043," Maintenance Workers, Machinery",150,42460,40320,32080,47660
10,10,Western New York Region, 15-1133," Software Developers, Systems Software",910,90120,80450,55810,107270
10,8,North Country Region, 45-2011, Agricultural Inspectors,n/a,62110,63340,47940,69190
10,6,Mohawk Valley Region, 51-9199," Production Workers, All Other",250,25480,23510,22730,26850
10,9,Southern Tier Region, 17-2011, Aerospace Engineers,50,110840,109600,84770,123870
10,4,Hudson Valley Region, 49-9098,"Helpers--Installation, Maintenance, and Repair Workers",520,36800,32610,24370,43020
10,1,Capital Region, 33-9091, Crossing Guards,140,27570,26350,22150,30280
10,3,Finger Lakes Region, 51-4061," Model Makers, Metal and Plastic",70,46650,47980,32040,53960
10,5,Long Island Region, 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",4410,63280,60050,46320,71760
10,1,Capital Region, 47-2111, Electricians,2320,61160,61710,37730,72880
10,2,Central New York Region, 51-3092, Food Batchmakers,220,30690,29020,21770,35150
10,5,Long Island Region, 17-2061, Computer Hardware Engineers,180,106380,99780,58460,130330
1,36,New York State, 17-3012, Electrical and Electronics Drafters,1490,67390,63540,38610,81780
10,5,Long Island Region, 43-9071," Office Machine Operators, Except Computer",410,40160,36360,24840,47820
10,3,Finger Lakes Region, 17-0000,Architecture and Engineering Occupations,11140,77720,74190,48530,92320
