SOC,Occupation,Probability,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
41-9012,Models,0.98,0,0,0,0,540,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,50,0,180,100,0,0,0,0,1220,0,0,60,0,0,80,0
41-9021,Real Estate Brokers,0.97,220,90,1670,120,5900,1930,160,0,200,2940,520,330,150,2330,320,90,210,80,290,180,660,1120,590,410,240,780,210,210,170,180,420,130,1610,6160,0,690,450,870,1000,0,920,0,490,2590,320,70,1700,580,90,240,0
41-9022,Real Estate Sales Agents,0.86,900,190,3150,1060,12400,4180,800,610,640,17510,10370,250,800,3890,2390,1040,710,1980,1180,200,2130,2330,2620,1820,850,2210,420,500,1560,230,2630,850,6010,5160,440,6720,3390,700,6820,270,3990,300,1330,16210,2030,0,6720,7420,330,1240,230
41-9031,Sales Engineers,0.0041,270,70,1360,130,11390,3620,940,90,0,1980,2140,160,150,3520,1040,250,340,250,200,180,1030,3670,2550,1790,120,860,40,110,330,490,1990,60,2750,3340,70,3680,400,870,3430,0,360,110,950,11620,550,100,1790,1300,40,1450,0
41-9041,Telemarketers,0.99,2240,0,13850,2600,13670,6100,1120,0,230,27870,4110,310,2020,7420,4510,2740,1910,1380,420,1400,1260,2830,4490,2660,0,7680,350,3000,3210,660,4540,830,7520,4580,210,13510,4160,3160,6330,180,2200,1040,3750,21020,4750,70,8120,2440,1100,5020,0
41-9091,Door-to-Door Sales Workers; News and Street Vendors; and Related Workers,0.94,0,60,0,0,1200,100,0,0,0,280,0,0,0,0,160,0,90,0,0,0,190,90,0,60,0,240,0,0,0,0,0,0,380,300,0,500,0,150,170,0,0,0,50,1170,0,0,0,0,0,150,0
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.014,17410,3170,37200,14840,171260,19340,24280,5320,5180,96140,40640,6970,6550,44280,26470,10810,13600,20240,20610,5220,38060,37580,32410,22940,10670,23770,3890,10020,11480,7180,41110,10590,114040,38090,3170,44420,19970,13780,63570,5660,25280,1830,34280,115950,15270,1950,40350,27640,9300,27410,1940
43-2011,Switchboard Operators; Including Answering Service,0.96,1230,160,1330,670,11710,1300,630,210,300,5940,3800,790,390,3230,1850,460,1260,1860,2430,490,1420,2340,2210,910,1100,1720,140,850,1710,470,2020,660,5580,2780,120,2670,970,1280,4060,560,1690,40,2520,7260,700,200,1380,1740,430,1150,160
43-2021,Telephone Operators,0.97,0,0,0,0,520,0,210,50,50,430,100,50,0,590,90,130,30,0,100,0,190,340,320,0,40,60,0,0,50,0,120,0,800,0,0,340,30,0,340,60,80,0,100,350,0,0,140,0,0,0,0
43-3011,Bill and Account Collectors,0.95,4180,360,8870,1680,36030,3200,2610,1180,200,20410,13450,750,1740,11920,4790,2370,4080,2470,3390,930,4270,6170,6760,6170,2290,7180,640,1810,2280,1270,5640,1090,17130,8960,400,13640,4140,2890,11320,700,5730,3470,6580,29940,5460,400,7840,4380,1350,4240,210
43-3021,Billing and Posting Clerks,0.96,7160,1190,12010,4050,57380,6430,5630,2090,840,32340,13700,1520,2480,15190,8900,4310,5320,9100,5290,2350,8010,9410,15530,8010,3670,10040,1420,2890,3570,2170,17740,1800,33670,14210,900,21170,4030,4940,24480,1810,6160,820,11510,42040,4450,1050,11330,12070,2170,6280,570
43-3031,Bookkeeping; Accounting; and Auditing Clerks,0.98,22190,4670,21910,12040,187550,26940,18140,7730,3840,94170,42950,6460,8540,55350,31440,19630,15850,22060,20950,7400,23570,42930,38940,33560,11940,30370,8480,12640,11880,7710,45120,8690,115270,43590,6340,61590,21970,22610,60390,6090,21080,9610,30160,125140,13560,5450,39810,35630,6900,32880,3260
43-3041,Gaming Cage Workers,0.39,0,0,0,0,5950,270,0,0,0,590,0,0,50,380,230,250,170,0,670,0,80,0,590,420,570,250,0,0,2680,0,60,190,260,0,100,390,1540,190,490,0,0,190,0,90,0,0,0,610,170,0,0
43-3051,Payroll and Timekeeping Clerks,0.97,2400,430,2480,1420,25650,2470,2010,500,500,6700,4460,790,790,5200,3800,1060,2070,2250,3070,620,2810,3760,3330,3210,1320,3010,520,920,1420,770,4400,910,9720,4300,650,6130,2880,1950,6870,480,1830,390,3310,13890,1580,330,3290,3090,880,2740,280
43-3061,Procurement Clerks,0.98,690,260,2510,630,7710,980,820,170,300,3140,1770,300,390,2490,1260,550,650,710,750,460,1860,1220,1870,1430,860,1790,190,710,530,350,3430,340,3800,1730,350,3840,1200,800,3630,270,1200,140,1370,7170,970,130,1920,1090,490,740,140
43-3071,Tellers,0.98,9400,1290,6220,6130,43510,7150,5140,1360,940,31070,13000,2040,2790,20870,10650,8420,5860,8650,9290,2450,7900,10110,15550,7890,4770,11670,2010,5250,3810,1970,15240,2740,26570,13340,1620,19260,7170,4430,23390,1380,7000,2190,10420,49510,5520,1120,11680,10350,3300,12270,1050
43-4011,Brokerage Clerks,0.98,670,60,1690,160,5600,1240,740,380,130,3710,570,70,70,3380,440,440,330,1200,240,130,670,1850,930,2740,200,1910,160,660,180,390,3330,110,6250,1700,90,2910,200,370,3870,570,250,0,1020,4430,490,50,1360,680,110,740,70
43-4021,Correspondence Clerks,0.86,50,0,120,90,560,160,60,0,0,350,80,0,0,210,110,150,140,120,40,80,370,180,90,30,0,200,0,0,0,150,240,0,230,90,0,500,80,50,500,0,0,230,420,630,30,0,110,80,0,0,0
43-4031,Court; Municipal; and License Clerks,0.46,2550,580,3620,1010,9320,4660,1290,800,0,6030,3970,810,780,5340,1450,1540,1240,3040,2110,1070,0,2300,6330,2410,1910,4380,850,1040,1440,410,4520,1330,7360,2440,330,7820,1750,1890,2110,600,1740,850,2850,10060,970,690,2050,3210,1000,1960,500
43-4041,Credit Authorizers; Checkers; and Clerks,0.97,280,40,910,100,2970,610,230,0,0,2710,540,50,160,740,630,660,280,200,1280,100,950,460,590,920,840,840,0,300,660,130,1490,120,1870,1500,250,1390,500,390,850,70,450,220,1440,4270,400,0,0,380,60,560,0
43-4051,Customer Service Representatives,0.55,30720,3660,86840,17300,212690,43520,31790,9300,6150,233430,103170,7610,17590,121130,49170,29170,29900,35160,21510,11090,46910,61890,89370,56610,16370,52080,6020,19560,23990,9330,66470,15250,157100,95340,6480,88310,29160,27220,116020,9880,48070,7710,59650,257600,44480,3470,62410,55680,11610,60650,1440
43-4061,Eligibility Interviewers; Government Programs,0.7,3240,500,1480,1620,25640,2620,1130,150,660,3920,4460,680,450,2080,2000,1020,850,1370,240,560,1460,2610,4390,2410,1280,3820,140,750,580,470,810,970,10550,6550,380,4250,610,1500,9000,440,450,450,3080,12350,1910,60,3860,3350,1310,1230,270
43-4071,File Clerks,0.97,690,420,2690,570,18550,2020,1120,490,590,15590,2860,600,630,4080,2300,850,1040,1410,2350,220,1970,2060,2290,1920,930,3620,500,450,1350,960,7350,700,9810,1590,230,4330,1940,1480,4540,460,1130,90,2100,12900,1060,0,2130,1700,350,1520,180
43-4081,Hotel; Motel; and Resort Desk Clerks,0.94,3840,1040,5230,2460,25190,5930,1670,650,1120,18910,7140,2360,1470,6650,4410,3890,2690,3700,3640,2050,3400,3760,5280,4730,3160,4200,1790,1940,5010,1210,4040,2830,11060,8950,1840,6110,3340,3760,8230,530,5810,2250,6440,20570,2930,770,7320,5300,1570,4810,1470
43-4111,Interviewers; Except Eligibility and Loan,0.94,3300,130,1170,1210,18670,4320,1470,720,230,11790,3800,390,1140,4250,4110,1500,2520,4330,630,1040,4390,2820,3990,2800,1620,6640,900,3710,2210,1360,6760,200,14310,7850,270,8880,1150,3400,9830,660,2140,490,7700,10260,2410,340,5140,4020,1110,1710,270
43-4121,Library Assistants; Clerical,0.95,1290,250,1360,620,9220,1520,1550,480,400,4320,1800,290,480,6890,3050,1640,1120,1600,290,320,1710,2650,4400,1150,690,2370,130,600,840,790,4070,330,7230,1880,110,6090,940,1100,5270,380,1090,0,1080,5670,1150,290,2480,2340,900,2050,270
43-4131,Loan Interviewers and Clerks,0.92,2940,390,9040,1890,23370,3800,1760,960,200,16340,4780,790,1250,8740,4460,4350,2470,2860,2480,810,2390,2760,5210,4530,1700,6530,1060,1440,2010,830,5310,1250,5770,6610,670,11190,3690,2090,8610,1010,3100,2090,3670,27030,3260,230,7800,3960,600,3810,470
43-4141,New Accounts Clerks,0.99,430,50,900,450,3850,480,90,200,0,660,450,310,300,3530,770,1160,990,770,490,290,630,840,1050,940,470,1560,160,710,230,420,660,210,930,1580,180,2290,1420,900,900,0,300,40,950,4280,350,0,980,630,320,1160,170
43-4151,Order Clerks,0.98,1330,190,3050,910,34260,2400,1410,490,60,7890,3710,510,710,7370,3020,1230,1410,2010,900,1230,2410,2760,3120,2170,770,3280,150,2420,1380,880,5600,160,6710,3790,320,10050,1480,4350,6650,320,1110,340,4830,22100,1490,790,2810,4470,310,5690,60
43-4161,Human Resources Assistants; Except Payroll and Timekeeping,0.9,1500,440,2560,1270,16430,2330,1290,610,810,7750,3500,1060,410,3660,1860,1000,1250,1840,1350,510,4220,2370,3060,5650,920,3050,320,1140,1190,480,5540,980,10920,4990,350,4550,1470,1360,5520,600,1560,240,2640,11620,750,170,4380,2580,600,2270,200
43-4171,Receptionists and Information Clerks,0.96,13610,2670,17460,6940,106030,19010,13290,2440,4370,80770,28490,3440,5460,40010,16720,8310,9230,15160,15350,3660,19490,20380,31230,17880,6070,14100,2730,6270,10300,5340,52470,5890,90110,31800,1800,25220,8670,11800,38180,3850,11880,4570,17260,55940,10870,2470,32240,22590,4100,18630,1210
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.61,510,620,5890,370,16340,2150,680,40,320,17240,0,2760,620,5500,490,0,380,1600,1110,260,1890,3510,3280,5530,90,1070,340,1130,4340,270,3250,730,11400,3100,0,2260,220,1970,2770,0,1040,230,1530,14910,6500,170,3540,2790,100,770,170
43-5011,Cargo and Freight Agents,0.99,740,660,940,810,12760,620,450,130,80,6140,4230,890,140,5330,1190,530,670,2460,530,230,640,1110,1670,1360,350,1760,270,580,1360,180,3330,160,6660,2500,110,2690,330,1080,2190,90,1290,370,1040,11820,570,60,2700,1930,70,1060,50
43-5021,Couriers and Messengers,0.94,1680,0,670,500,13680,1050,570,290,500,4050,1990,350,350,2490,950,630,600,1080,1400,200,770,2190,2150,950,620,930,0,880,1100,420,1600,510,6140,1390,250,1620,720,1060,2720,270,1030,150,2070,6120,450,260,1170,1010,280,1860,90
43-5031,Police; Fire; and Ambulance Dispatchers,0.49,2540,310,1830,1010,6680,1720,1280,250,150,6120,3410,200,470,3770,2070,1070,1070,1560,1510,700,1450,2550,2070,1230,1400,2500,510,1090,620,730,4190,860,4090,3550,160,4250,1790,850,3520,420,1430,320,2410,7530,680,280,3140,1420,900,1210,290
43-5032,Dispatchers; Except Police; Fire; and Ambulance,0.96,2190,720,4380,1620,25400,2780,2600,660,310,10720,5990,790,860,7090,4750,1620,1710,2810,4200,980,3350,3730,5180,4140,1280,4370,570,1390,2530,610,6410,820,11490,4710,950,7520,2230,2940,7310,470,2170,580,4770,20230,1700,350,4690,4280,730,3910,300
43-5041,Meter Readers; Utilities,0.85,630,40,640,770,3650,370,180,50,0,1420,1780,120,120,1100,1220,310,520,780,980,100,290,610,0,340,0,640,80,110,130,150,950,350,1590,1090,90,1020,820,250,1340,0,670,60,1110,2620,340,60,770,610,420,350,80
43-5051,Postal Service Clerks,0.95,1330,400,1070,1100,7600,1390,1040,270,150,3760,2220,440,490,3270,1710,1420,1260,1260,1230,720,1380,2370,2830,1530,840,1960,550,800,460,550,2820,680,6090,2060,390,2760,1030,950,3950,280,960,420,1530,4680,650,440,2310,1700,960,1660,290
43-5052,Postal Service Mail Carriers,0.68,5320,460,5290,3040,34590,5250,4570,1030,1080,19660,9900,1100,1500,15300,7030,3920,3410,4460,4710,1550,6760,7980,11950,6420,3080,7540,860,2280,2430,1510,10340,1560,22430,10360,910,13190,3990,3610,14380,1250,4780,950,6600,23990,2190,760,8290,6530,1730,6780,430
43-5053,Postal Service Mail Sorters; Processors; and Processing Machine Operators,0.79,1030,270,1660,590,13540,2260,1170,440,630,6140,2750,390,230,6010,1950,1370,810,910,1090,480,2890,3250,3520,2300,350,2890,320,830,760,640,5170,380,9540,3160,340,3940,860,1340,5600,660,1220,280,2120,6880,690,190,2570,2120,440,1700,150
43-5061,Production; Planning; and Expediting Clerks,0.88,2500,500,7680,3530,48900,2600,4520,620,890,10400,11110,600,1320,13300,6180,2860,3520,3480,2540,1090,4390,6050,8020,5570,2370,4630,560,2030,1650,1300,6550,710,26120,8050,940,14180,4940,3130,13320,660,5450,610,7960,33030,3720,450,8490,10800,730,7020,240
43-5071,Shipping; Receiving; and Traffic Clerks,0.98,8060,1230,9570,4340,97320,8870,6680,3260,520,32620,22640,2000,2860,31500,23310,5690,7250,8760,6760,2040,9300,14630,21270,13950,5620,10250,1320,3450,6630,2790,21870,2090,33170,21500,1410,34030,5870,8140,24370,1910,9510,950,17520,64660,9720,1740,13030,14390,2190,13820,640
43-5081,Stock Clerks and Order Fillers,0.64,23870,4080,37740,17540,239980,32200,23150,5440,2740,135660,59880,8630,6810,105570,38810,19140,20720,28210,23680,8750,39610,48980,58270,33440,17330,33940,5230,13790,18740,13710,67850,10050,112890,58220,5710,84580,21280,19690,89700,7270,27320,6030,53930,165180,17520,2680,56770,35820,9550,35190,3450
43-5111,Weighers; Measurers; Checkers; and Samplers; Recordkeeping,0.95,1860,40,1100,710,12950,940,620,220,0,4080,1790,590,240,1950,1740,880,1250,1380,830,500,740,910,1310,800,860,1690,170,850,1150,160,2500,300,2170,2880,170,2490,690,930,2240,510,1230,150,2710,7550,660,220,1830,1060,420,1340,130
43-6011,Executive Secretaries and Executive Administrative Assistants,0.86,3300,2010,10180,2600,86740,10310,8220,1400,6140,36010,17400,3160,1790,36590,7870,8490,8070,5180,14640,1810,9760,23150,11070,13760,3310,10480,730,5800,2800,1710,16770,2520,82790,17810,1770,20840,9410,5860,20780,1150,4070,2660,8910,41800,5110,2130,14680,9290,1420,6680,650
43-6012,Legal Secretaries,0.98,3960,270,2950,1090,28750,3040,1520,880,4290,10410,4070,720,540,9270,3240,1650,1540,2940,3590,840,3290,4220,5380,3380,960,3450,810,1240,2010,810,8990,1550,14840,1830,290,7330,1510,1700,9630,660,2020,650,2840,14010,1250,340,3010,3920,1170,2110,440
43-6013,Medical Secretaries,0.81,5130,1410,13840,3430,73310,6950,3930,4010,1710,20540,13110,1420,920,14190,11040,4720,2790,5740,2150,3430,11850,22240,21150,11200,2530,15610,2000,2570,2770,2160,11620,3850,11720,13050,840,39610,8660,13460,24450,2470,7580,140,8840,96290,3540,960,5200,8420,1390,5350,1510
43-6014,Secretaries and Administrative Assistants; Except Legal; Medical; and Executive,0.96,45760,6920,42690,18030,222500,48460,31850,7120,14720,174800,60320,9880,8780,84550,39210,20130,28480,29050,33340,10360,61760,43310,59710,29860,23100,76060,7730,15530,14890,11770,60300,23390,197920,59480,7570,76950,27600,26820,104420,6610,38070,5840,55480,176670,29370,5970,41600,38120,9180,18720,4730
43-9011,Computer Operators,0.78,720,140,1320,900,4080,440,310,150,130,2070,2040,410,120,1920,770,360,720,380,410,200,780,1530,820,550,470,1340,70,1030,290,270,2480,280,4430,1060,130,1330,340,0,2070,260,500,0,2180,3750,360,50,990,740,210,640,60
43-9021,Data Entry Keyers,0.99,1540,240,3990,1150,23900,2440,1500,0,420,16250,4080,690,410,9140,3770,1240,1980,1680,2480,530,4130,3040,5040,3110,880,4360,500,1610,1610,1430,9340,670,12760,5600,480,5920,2240,1870,8990,640,1620,170,4840,20310,3890,450,4380,2720,590,3130,140
43-9022,Word Processors and Typists,0.81,350,120,320,0,15260,0,950,120,290,2730,470,690,460,580,450,470,120,170,380,130,750,860,1850,700,300,860,100,230,570,60,4570,160,15720,740,190,1650,470,140,6790,420,500,0,260,1470,740,0,580,490,80,1010,0
43-9031,Desktop Publishers,0.16,80,0,130,0,1670,220,90,0,70,410,370,0,0,1030,290,190,250,50,240,150,490,490,560,370,50,170,0,120,0,0,330,0,770,110,70,410,100,260,1030,0,110,0,140,1140,70,50,180,240,50,270,0
43-9041,Insurance Claims and Policy Processing Clerks,0.98,2800,160,6400,1180,39860,2350,5080,870,370,18070,11160,650,530,9850,4360,3350,1660,4310,1760,1560,2580,6900,4540,4950,890,6460,410,2560,1680,1380,8150,1040,10830,4830,400,17600,2620,3370,11580,900,2170,1040,4440,34980,1230,580,6780,4600,1150,6750,630
43-9051,Mail Clerks and Mail Machine Operators; Except Postal Service,0.94,480,160,1710,760,6290,1210,1680,460,1280,5330,3010,120,160,5480,1470,2020,980,1170,580,210,2070,2030,2200,2950,390,2310,250,530,1020,440,2900,240,8280,2250,180,3460,730,680,4850,260,810,240,1540,7190,1410,130,3800,880,470,2310,190
43-9061,Office Clerks; General,0.96,32610,6810,51010,28430,320890,44650,32340,6380,10000,163290,83920,12480,16420,140700,57280,29880,24870,23620,39220,11310,46300,63080,102910,53070,17210,46490,13240,17190,27320,15690,73320,10190,188240,83480,8620,92350,31330,33500,143570,9950,30280,3670,53250,363020,25980,1750,87200,61810,24630,84250,6560
43-9071,Office Machine Operators; Except Computer,0.92,720,60,1520,210,6410,860,730,400,710,3150,1500,120,190,1230,910,860,720,810,210,150,1600,1480,1390,1140,280,1520,130,0,410,380,3380,230,4400,1900,170,2730,630,1230,2000,230,330,80,980,5260,460,90,1480,920,140,1120,80
43-9081,Proofreaders and Copy Markers,0.84,0,0,150,50,1600,110,100,0,40,280,210,0,50,490,140,140,90,140,50,40,310,340,340,470,0,110,30,160,0,50,480,0,1400,90,0,0,0,110,480,0,40,0,120,300,0,0,320,480,0,170,0
43-9111,Statistical Assistants,0.66,80,0,210,40,800,130,80,0,370,330,210,40,0,660,740,180,80,30,80,50,240,560,230,70,50,220,40,120,0,100,140,0,650,480,0,590,50,100,690,40,150,0,40,670,90,0,70,480,0,110,0
45-1011,First-Line Supervisors of Farming; Fishing; and Forestry Workers,0.57,360,50,530,310,5430,250,80,60,0,1410,650,70,230,250,180,210,150,250,470,0,170,190,350,180,370,380,160,170,100,50,220,200,180,600,60,200,150,590,440,0,400,0,170,1160,50,100,700,770,80,280,0
45-2011,Agricultural Inspectors,0.94,510,0,150,360,2710,200,40,140,0,530,660,0,190,390,140,380,540,210,260,60,150,0,340,310,250,260,70,310,0,0,140,80,0,470,190,390,370,200,360,0,120,0,290,570,0,40,690,310,0,330,0
45-2021,Animal Breeders,0.95,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,100,0,40,0,0,0,0,0,0,0,60,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
45-2041,Graders and Sorters; Agricultural Products,0.41,680,0,0,1300,9780,0,0,140,0,2650,1590,0,1260,1400,400,250,500,140,280,180,250,320,650,330,480,470,50,230,0,0,580,0,60,1380,270,150,350,1750,520,0,220,430,0,3340,0,350,680,2720,0,820,0
45-2090,Miscellaneous Agricultural Workers,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-3011,Fishers and Related Fishing Workers,0.83,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-3021,Hunters and Trappers,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-4011,Forest and Conservation Workers,0.87,50,0,0,0,2130,0,0,0,40,0,0,0,0,120,0,160,0,0,210,0,120,260,30,60,0,0,40,30,0,0,150,30,90,0,150,0,0,170,170,0,190,610,340,150,70,0,0,270,60,170,0
45-4021,Fallers,0.76,90,0,0,160,230,0,0,0,0,0,110,0,290,0,120,0,0,80,90,0,0,0,150,0,510,0,0,0,0,0,0,0,60,380,0,140,0,630,0,0,0,0,0,40,0,0,420,310,0,0,0
45-4022,Logging Equipment Operators,0.79,2280,0,0,1240,1200,100,0,0,0,970,1700,0,710,0,210,40,0,310,1120,1150,90,0,760,470,1820,100,430,0,0,220,0,0,380,1570,0,230,0,2080,570,0,1330,50,750,690,0,140,1370,1650,410,540,40
45-4023,Log Graders and Scalers,0.97,120,0,0,210,0,0,0,0,0,150,160,0,130,0,40,0,0,80,140,50,0,0,0,0,90,0,0,0,0,40,0,0,70,100,0,0,0,330,90,0,120,0,110,30,0,0,130,250,180,50,0
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.17,10880,1350,13120,4890,48610,13590,4690,1820,1190,41370,12460,2490,2970,11160,10140,6230,5700,7270,11910,2260,14770,10760,11290,6070,4190,7210,3020,4530,4290,2390,8400,5530,23520,21220,3790,14730,9240,5150,19910,1870,9570,1210,9210,68270,7190,1500,18570,11450,4140,8490,2640
47-2011,Boilermakers,0.68,290,0,70,120,430,70,180,0,0,700,520,0,0,0,1030,0,30,530,1670,0,60,290,210,60,330,0,160,0,40,80,200,280,320,270,0,600,350,390,630,0,240,0,280,2880,340,0,400,260,90,230,470
47-2021,Brickmasons and Blockmasons,0.82,460,0,770,460,4550,1480,620,220,180,4640,940,290,300,2860,1870,830,520,840,480,190,1980,1650,1950,1300,200,1600,260,600,840,310,1480,260,6300,2400,200,2950,440,460,3150,0,730,340,1440,3740,1390,90,2580,990,330,1500,210
47-2022,Stonemasons,0.89,50,0,850,0,2050,240,170,50,60,550,0,170,0,0,120,0,0,0,0,120,280,500,0,90,0,300,60,70,440,150,200,0,1680,0,0,0,0,30,390,0,50,0,130,1320,240,80,430,320,0,0,0
47-2031,Carpenters,0.72,8160,2350,9420,4670,91780,13410,6010,1650,2190,41610,17770,5190,5010,24720,14280,8180,5560,6360,11920,4170,13830,17440,18160,14600,3490,12860,4270,7940,9940,3100,16840,3770,48220,15200,2370,18990,4880,12860,30620,2740,8380,4110,6650,36870,8990,3130,16890,24180,2890,15300,3030
47-2041,Carpet Installers,0.87,0,0,520,190,5270,230,0,180,0,970,870,220,230,1560,500,220,410,250,270,0,510,510,1030,530,0,310,100,180,670,0,520,60,1350,490,150,570,0,390,1870,0,340,0,0,680,500,50,280,780,0,710,70
47-2042,Floor Layers; Except Carpet; Wood; and Hard Tiles,0.79,270,0,0,0,2080,120,90,0,0,830,130,250,150,470,200,90,190,0,210,0,130,180,280,60,30,410,0,0,50,0,0,0,470,150,0,220,120,300,240,0,160,130,100,370,150,40,0,0,0,440,0
47-2043,Floor Sanders and Finishers,0.87,0,0,90,120,440,200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,210,0,0,0,0,0,0,90,0,260,270,0,0,0,0,60,0,0,0,200,150,0,0,60,230,0,850,40
47-2044,Tile and Marble Setters,0.75,230,0,690,80,7810,850,200,0,0,4980,430,380,120,1710,460,340,170,250,380,0,370,720,750,520,160,630,190,340,1480,80,1050,120,1890,320,50,600,290,800,1060,80,290,70,430,1910,1320,0,560,1000,50,420,60
47-2051,Cement Masons and Concrete Finishers,0.94,1670,130,5860,1200,20310,5330,890,400,560,11360,2930,950,1800,4570,4250,3380,2280,2240,2640,550,3260,1940,4070,4990,640,4640,450,3030,2110,160,2820,1110,7630,4340,1270,4830,2930,2360,4960,280,1670,1950,2330,19800,3460,260,4160,3660,300,4400,800
47-2053,Terrazzo Workers and Finishers,0.88,0,0,0,0,790,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,570,0,0,0,0,0,0,0
47-2061,Construction Laborers,0.88,7560,2820,16240,7500,92250,20620,7320,1920,3560,57090,29440,5570,5800,31260,16920,13490,10030,9880,16270,2570,19120,18980,22510,11330,6380,19180,4720,3270,8730,3310,25350,9480,61050,20400,5380,35090,9880,11500,38180,2520,15290,1740,18000,100600,13490,1510,21370,21910,7400,13240,3070
47-2071,Paving; Surfacing; and Tamping Equipment Operators,0.83,1200,0,1490,1080,4400,2240,480,230,210,2860,1130,110,180,1060,710,540,610,1240,590,340,990,670,1220,1390,910,1040,170,730,880,240,1600,210,2030,1480,430,1260,1160,510,2140,0,670,150,2220,5010,450,0,1730,580,360,520,150
47-2072,Pile-Driver Operators,0.82,0,50,0,0,470,0,0,0,0,250,0,0,0,0,0,0,0,0,420,0,80,270,0,0,40,0,0,0,0,0,240,0,120,0,0,0,120,70,80,0,140,0,0,390,0,0,90,140,0,0,0
47-2073,Operating Engineers and Other Construction Equipment Operators,0.95,5530,3550,6950,3420,25590,9250,3060,1120,570,15450,9960,2230,2590,11550,8230,5710,6440,6840,7740,1860,5170,6000,7070,10360,2360,6550,3130,2370,2560,860,5090,4300,11940,11020,3640,15310,5940,3560,20220,660,5390,1880,4550,36560,4920,1120,10770,7510,6360,7790,4150
47-2081,Drywall and Ceiling Tile Installers,0.79,550,0,4140,570,23100,2880,490,340,0,5160,1720,1010,1110,1760,1030,970,910,710,0,340,2210,1490,1290,1100,130,770,240,750,2000,580,1230,640,3110,1620,280,1250,930,910,1940,0,920,470,1580,9450,2490,200,2020,3970,190,1120,220
47-2082,Tapers,0.62,0,0,1180,0,5810,490,270,0,0,0,0,490,230,430,140,90,230,70,310,90,180,700,120,380,0,230,0,0,870,180,310,80,940,0,0,200,0,430,180,70,0,0,100,520,590,50,0,1810,0,190,0
47-2111,Electricians,0.15,9050,1830,10800,5620,60620,16170,6800,1800,1110,35080,16820,3890,3660,20330,14560,8000,5680,8130,10950,1950,12850,15320,20370,10590,5860,10400,2090,4980,6370,2070,15140,3720,40300,14080,3920,22650,6280,7480,21850,2040,7520,2050,10800,57540,8510,1140,16680,15160,3590,10430,2480
47-2121,Glaziers,0.73,480,140,840,400,6490,1220,480,0,290,3910,1050,340,830,1020,700,280,390,510,560,0,1240,1190,1260,770,340,1020,110,400,810,180,1070,240,2760,910,210,1410,290,760,1370,90,370,260,780,4520,500,0,900,2130,160,640,170
47-2131,Insulation Workers; Floor; Ceiling; and Wall,0.83,220,170,520,320,2190,680,180,110,0,2170,990,0,280,720,470,350,260,690,790,440,200,770,680,700,0,840,220,110,0,130,880,0,800,1220,280,480,390,420,610,0,640,170,750,4070,240,140,710,970,70,550,290
47-2132,Insulation Workers; Mechanical,0.64,280,210,0,160,1590,700,190,200,0,1310,860,130,0,370,710,830,0,220,2790,160,420,490,0,930,380,310,60,140,100,0,200,60,1110,790,260,940,380,440,370,0,600,40,440,3470,350,0,1140,590,130,390,370
47-2141,Painters; Construction and Maintenance,0.75,1940,380,4730,1340,35210,4010,1740,420,470,17700,3780,2050,1620,8380,3810,1820,1880,1920,4930,1460,4660,4900,3880,3930,1330,3820,850,1350,3070,790,4170,1080,13360,3610,580,5500,2250,4170,5890,610,2540,570,3010,18740,2420,690,6260,9100,720,3260,590
47-2142,Paperhangers,0.87,30,0,80,0,190,0,0,60,0,180,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,80,0,0,0,0,0,30,360,120,0,240,0,0,140,0,0,0,0,0,0,0,0,50,0,0,0
